"Material Handling","Beam Trolleys","http://www.avenuesupply.ca/en-ca/category/material-handling-beam-trolleys-298153.aspx"
"Material Handling","Casters & Wheels","http://www.avenuesupply.ca/en-ca/category/material-handling-casters-and-wheels-297393.aspx"
"Material Handling","Conveyors","http://www.avenuesupply.ca/en-ca/category/material-handling-conveyors-297397.aspx"
"Material Handling","Cranes","http://www.avenuesupply.ca/en-ca/category/material-handling-cranes-297405.aspx"
"Material Handling","Dollies","http://www.avenuesupply.ca/en-ca/category/material-handling-dollies-297386.aspx"
"Material Handling","Dumpers","http://www.avenuesupply.ca/en-ca/category/material-handling-dumpers-298165.aspx"
"Material Handling","Food Handling Paddles & Scrapers","http://www.avenuesupply.ca/en-ca/category/material-handling-food-handling-paddles-and-scrapers-439650.aspx"
"Material Handling","Food Handling Scoops","http://www.avenuesupply.ca/en-ca/category/material-handling-food-handling-scoops-439648.aspx"
"Material Handling","Food Handling Shovels & Forks","http://www.avenuesupply.ca/en-ca/category/material-handling-food-handling-shovels-and-forks-439647.aspx"
"Material Handling","Forklift Attachments","http://www.avenuesupply.ca/en-ca/category/material-handling-forklift-attachments-298154.aspx"
"Material Handling","Hoists & Accessories","http://www.avenuesupply.ca/en-ca/category/material-handling-hoists-and-accessories-298142.aspx"
"Material Handling","Lift Trucks","http://www.avenuesupply.ca/en-ca/category/material-handling-lift-trucks-298168.aspx"
"Material Handling","Pallet Jacks & Positioners","http://www.avenuesupply.ca/en-ca/category/material-handling-pallet-jacks-and-positioners-298169.aspx"
"Material Handling","Pallets","http://www.avenuesupply.ca/en-ca/category/material-handling-pallets-298174.aspx"
"Material Handling","Scissor Lifts & Lift Tables","http://www.avenuesupply.ca/en-ca/category/material-handling-scissor-lifts-and-lift-tables-298166.aspx"
"Material Handling","Turntables & Carousels","http://www.avenuesupply.ca/en-ca/category/material-handling-turntables-and-carousels-298167.aspx"
"Material Handling","Work Positioners","http://www.avenuesupply.ca/en-ca/category/material-handling-work-positioners-298187.aspx"
"Drums, Drum Handling & Storage","Drum Accessories","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-accessories-298194.aspx"
"Drums, Drum Handling & Storage","Drum Cabinets","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-cabinets-298222.aspx"
"Drums, Drum Handling & Storage","Drum Covers","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-covers-298193.aspx"
"Drums, Drum Handling & Storage","Drum Cradles","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-cradles-298207.aspx"
"Drums, Drum Handling & Storage","Drum Crushers & Trash Compactors","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-crushers-and-trash-compactors-298208.aspx"
"Drums, Drum Handling & Storage","Drum Dollies","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-dollies-298209.aspx"
"Drums, Drum Handling & Storage","Drum Dumpers","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-dumpers-298210.aspx"
"Drums, Drum Handling & Storage","Drum Heaters","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-heaters-298192.aspx"
"Drums, Drum Handling & Storage","Drum Lifters","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-lifters-298212.aspx"
"Drums, Drum Handling & Storage","Drum Pumps","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-pumps-298191.aspx"
"Drums, Drum Handling & Storage","Drum Racks","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-racks-298206.aspx"
"Drums, Drum Handling & Storage","Drum Secondary & Spill Containment","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-secondary-and-spill-containment-298216.aspx"
"Drums, Drum Handling & Storage","Drum Trucks","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drum-trucks-298205.aspx"
"Drums, Drum Handling & Storage","Drums","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-drums-298189.aspx"
"Drums, Drum Handling & Storage","Outdoor Drum Storage","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-outdoor-drum-storage-298221.aspx"
"Drums, Drum Handling & Storage","Overpack & Salvage Drums","http://www.avenuesupply.ca/en-ca/category/drums-drum-handling-and-storage-overpack-and-salvage-drums-298190.aspx"
"Cabinets & Lockers","Bin Cabinets","http://www.avenuesupply.ca/en-ca/category/cabinets-and-lockers-bin-cabinets-297326.aspx"
"Cabinets & Lockers","Industrial Drawer Cabinets","http://www.avenuesupply.ca/en-ca/category/cabinets-and-lockers-industrial-drawer-cabinets-297333.aspx"
"Cabinets & Lockers","Locker Room Benches","http://www.avenuesupply.ca/en-ca/category/cabinets-and-lockers-locker-room-benches-297340.aspx"
"Cabinets & Lockers","Lockers & Locks","http://www.avenuesupply.ca/en-ca/category/cabinets-and-lockers-lockers-and-locks-297334.aspx"
"Cabinets & Lockers","Safety Cabinets","http://www.avenuesupply.ca/en-ca/category/cabinets-and-lockers-safety-cabinets-297327.aspx"
"Cabinets & Lockers","Storage Cabinets","http://www.avenuesupply.ca/en-ca/category/cabinets-and-lockers-storage-cabinets-297325.aspx"
"Racks & Shelving","Bar & Sheet Storage Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-bar-and-sheet-storage-racks-297378.aspx"
"Racks & Shelving","Bin Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-bin-racks-297384.aspx"
"Racks & Shelving","Bin Shelving","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-bin-shelving-297383.aspx"
"Racks & Shelving","Cantilever Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-cantilever-racks-297363.aspx"
"Racks & Shelving","Drum Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-drum-racks-297357.aspx"
"Racks & Shelving","Dunnage Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-dunnage-racks-297379.aspx"
"Racks & Shelving","Gravity Flow Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-gravity-flow-racks-297380.aspx"
"Racks & Shelving","Pallet Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-pallet-racks-297358.aspx"
"Racks & Shelving","Reel & Spool Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-reel-and-spool-racks-297381.aspx"
"Racks & Shelving","Storage Shelving","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-storage-shelving-297368.aspx"
"Racks & Shelving","Tire Racks","http://www.avenuesupply.ca/en-ca/category/racks-and-shelving-tire-racks-297382.aspx"
"Storage Containers & Bins","Bin Accessories","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-bin-accessories-298241.aspx"
"Storage Containers & Bins","Bin Carts & Parts Organizers","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-bin-carts-and-parts-organizers-298240.aspx"
"Storage Containers & Bins","Bin Racks","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-bin-racks-298229.aspx"
"Storage Containers & Bins","Bin Shelving","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-bin-shelving-298228.aspx"
"Storage Containers & Bins","Bins","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-bins-298227.aspx"
"Storage Containers & Bins","Bottles, Jars & Jugs","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-bottles-jars-and-jugs-298248.aspx"
"Storage Containers & Bins","Bulk Containers","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-bulk-containers-298249.aspx"
"Storage Containers & Bins","Drums","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-drums-298250.aspx"
"Storage Containers & Bins","Pails & Accessories","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-pails-and-accessories-298246.aspx"
"Storage Containers & Bins","Safety Cans","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-safety-cans-298251.aspx"
"Storage Containers & Bins","Storage & IBC Tanks","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-storage-and-ibc-tanks-298247.aspx"
"Storage Containers & Bins","Totes & Containers","http://www.avenuesupply.ca/en-ca/category/storage-containers-and-bins-totes-and-containers-298242.aspx"
"Workbenches & Workshop Furniture","Machine Stands","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-machine-stands-298262.aspx"
"Workbenches & Workshop Furniture","Mats","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-mats-298276.aspx"
"Workbenches & Workshop Furniture","Part Washers & Wash Sinks","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-part-washers-and-wash-sinks-298293.aspx"
"Workbenches & Workshop Furniture","Shop Desks","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-shop-desks-298266.aspx"
"Workbenches & Workshop Furniture","Workbench Accessories","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workbench-accessories-298289.aspx"
"Workbenches & Workshop Furniture","Workbench Components","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workbench-components-298290.aspx"
"Workbenches & Workshop Furniture","Workbenches","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workbenches-298278.aspx"
"Workbenches & Workshop Furniture","Workshop Cabinets","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workshop-cabinets-298258.aspx"
"Workbenches & Workshop Furniture","Workshop Chairs & Stools","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workshop-chairs-and-stools-298271.aspx"
"Workbenches & Workshop Furniture","Workshop Computer Workstations","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workshop-computer-workstations-298263.aspx"
"Workbenches & Workshop Furniture","Workshop Drawer Cabinets","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workshop-drawer-cabinets-298257.aspx"
"Workbenches & Workshop Furniture","Workshop Tool Boards & Accessories","http://www.avenuesupply.ca/en-ca/category/workbenches-and-workshop-furniture-workshop-tool-boards-and-accessories-298261.aspx"
"Dock & Warehouse","Barriers & Protectors","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-barriers-and-protectors-299934.aspx"
"Dock & Warehouse","Bollards & Covers","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-bollards-and-covers-299929.aspx"
"Dock & Warehouse","Cable & Hose Bridges","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-cable-and-hose-bridges-299900.aspx"
"Dock & Warehouse","Cargo Bars & Straps","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-cargo-bars-and-straps-299901.aspx"
"Dock & Warehouse","Curtain Walls","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-curtain-walls-299902.aspx"
"Dock & Warehouse","Dock & Warehouse Doors","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-dock-and-warehouse-doors-299940.aspx"
"Dock & Warehouse","Dock Bumpers","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-dock-bumpers-299903.aspx"
"Dock & Warehouse","Dock Lights","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-dock-lights-357994.aspx"
"Dock & Warehouse","Dock Plates & Boards","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-dock-plates-and-boards-299904.aspx"
"Dock & Warehouse","Dock Seals & Shelters","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-dock-seals-and-shelters-299905.aspx"
"Dock & Warehouse","Forklift Work Platforms","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-forklift-work-platforms-299921.aspx"
"Dock & Warehouse","Guardrails","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-guardrails-299930.aspx"
"Dock & Warehouse","Industrial Fans & Heaters","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-industrial-fans-and-heaters-299906.aspx"
"Dock & Warehouse","Industrial Ladders","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-industrial-ladders-299914.aspx"
"Dock & Warehouse","Industrial Trailer Jacks","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-industrial-trailer-jacks-299927.aspx"
"Dock & Warehouse","Industrial Warehouse Brooms","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-industrial-warehouse-brooms-299950.aspx"
"Dock & Warehouse","Line Stripers & Floor Tapes","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-line-stripers-and-floor-tapes-299951.aspx"
"Dock & Warehouse","Loading Ramps","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-loading-ramps-299928.aspx"
"Dock & Warehouse","Modular Buildings","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-modular-buildings-299922.aspx"
"Dock & Warehouse","Security & Safety Mirrors","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-security-and-safety-mirrors-299944.aspx"
"Dock & Warehouse","Warehouse Mezzanines","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-warehouse-mezzanines-299949.aspx"
"Dock & Warehouse","Wheel & Tire Chocks","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-wheel-and-tire-chocks-299923.aspx"
"Dock & Warehouse","Wire Partitions & Enclosures","http://www.avenuesupply.ca/en-ca/category/dock-and-warehouse-wire-partitions-and-enclosures-299924.aspx"
"Carts & Trucks","Audio/Visual Carts","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-audio-visual-carts-299953.aspx"
"Carts & Trucks","Bar Trucks","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-bar-trucks-299976.aspx"
"Carts & Trucks","Bin Carts & Parts Organizers","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-bin-carts-and-parts-organizers-299954.aspx"
"Carts & Trucks","Bulk & Basket Trucks","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-bulk-and-basket-trucks-299977.aspx"
"Carts & Trucks","Hand Trucks","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-hand-trucks-299962.aspx"
"Carts & Trucks","Instruments Carts & Trucks","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-instruments-carts-and-trucks-299958.aspx"
"Carts & Trucks","Janitorial & Housekeeping Carts","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-janitorial-and-housekeeping-carts-299956.aspx"
"Carts & Trucks","Landscape Carts and Wagons","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-landscape-carts-and-wagons-299955.aspx"
"Carts & Trucks","Maintenance Carts","http://www.avenuesupply.ca/en-ca/category/carts-and-trucks-maintenance-carts-299957.aspx"
